teamname,teamwebsite,otherwebsite,teamnameshort,sportid,eventgroupid,sport,jsonobject,secretsheader
Anaheim Ducks,https://www.nhl.com/ducks/,None,Ducks,3,42133,NHL,"{""teamname"": ""Anaheim Ducks"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/ducks/""}",team_list_NHL_Ducks
Arizona Coyotes,https://www.nhl.com/coyotes/,None,Coyotes,3,42133,NHL,"{""teamname"": ""Arizona Coyotes"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/coyotes/""}",team_list_NHL_Coyotes
Boston Bruins,https://www.nhl.com/bruins/,None,Bruins,3,42133,NHL,"{""teamname"": ""Boston Bruins"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/bruins/""}",team_list_NHL_Bruins
Buffalo Sabres,https://www.nhl.com/sabres/,None,Sabres,3,42133,NHL,"{""teamname"": ""Buffalo Sabres"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/sabres/""}",team_list_NHL_Sabres
Calgary Flames,https://www.nhl.com/flames/,None,Flames,3,42133,NHL,"{""teamname"": ""Calgary Flames"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/flames/""}",team_list_NHL_Flames
Carolina Hurricanes,https://www.nhl.com/hurricanes/,None,Hurricanes,3,42133,NHL,"{""teamname"": ""Carolina Hurricanes"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/hurricanes/""}",team_list_NHL_Hurricanes
Chicago Blackhawks,https://www.nhl.com/blackhawks/,None,Blackhawks,3,42133,NHL,"{""teamname"": ""Chicago Blackhawks"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/blackhawks/""}",team_list_NHL_Blackhawks
Colorado Avalanche,https://www.nhl.com/avalanche/,None,Avalanche,3,42133,NHL,"{""teamname"": ""Colorado Avalanche"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/avalanche/""}",team_list_NHL_Avalanche
Columbus Blue Jackets,https://www.nhl.com/bluejackets/,None,BlueJackets,3,42133,NHL,"{""teamname"": ""Columbus Blue Jackets"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/bluejackets/""}",team_list_NHL_BlueJackets
Dallas Stars,https://www.nhl.com/stars/,None,Stars,3,42133,NHL,"{""teamname"": ""Dallas Stars"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/stars/""}",team_list_NHL_Stars
Detroit Red Wings,https://www.nhl.com/redwings/,None,RedWings,3,42133,NHL,"{""teamname"": ""Detroit Red Wings"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/redwings/""}",team_list_NHL_RedWings
Edmonton Oilers,https://www.nhl.com/oilers/,None,Oilers,3,42133,NHL,"{""teamname"": ""Edmonton Oilers"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/oilers/""}",team_list_NHL_Oilers
Florida Panthers,https://www.nhl.com/panthers/,None,Panthers,3,42133,NHL,"{""teamname"": ""Florida Panthers"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/panthers/""}",team_list_NHL_Panthers
Los Angeles Kings,https://www.nhl.com/kings/,None,Kings,3,42133,NHL,"{""teamname"": ""Los Angeles Kings"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/kings/""}",team_list_NHL_Kings
Minnesota Wild,https://www.nhl.com/wild/,None,Wild,3,42133,NHL,"{""teamname"": ""Minnesota Wild"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/wild/""}",team_list_NHL_Wild
Montreal Canadiens,https://www.nhl.com/canadiens/,None,Canadiens,3,42133,NHL,"{""teamname"": ""Montreal Canadiens"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/canadiens/""}",team_list_NHL_Canadiens
Nashville Predators,https://www.nhl.com/predators/,None,Predators,3,42133,NHL,"{""teamname"": ""Nashville Predators"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/predators/""}",team_list_NHL_Predators
New Jersey Devils,https://www.nhl.com/devils/,None,Devils,3,42133,NHL,"{""teamname"": ""New Jersey Devils"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/devils/""}",team_list_NHL_Devils
New York Islanders,https://www.nhl.com/islanders/,None,Islanders,3,42133,NHL,"{""teamname"": ""New York Islanders"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/islanders/""}",team_list_NHL_Islanders
New York Rangers,https://www.nhl.com/rangers/,None,Rangers,3,42133,NHL,"{""teamname"": ""New York Rangers"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/rangers/""}",team_list_NHL_Rangers
Ottawa Senators,https://www.nhl.com/senators/,None,Senators,3,42133,NHL,"{""teamname"": ""Ottawa Senators"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/senators/""}",team_list_NHL_Senators
Philadelphia Flyers,https://www.nhl.com/flyers/,None,Flyers,3,42133,NHL,"{""teamname"": ""Philadelphia Flyers"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/flyers/""}",team_list_NHL_Flyers
Pittsburgh Penguins,https://www.nhl.com/penguins/,None,Penguins,3,42133,NHL,"{""teamname"": ""Pittsburgh Penguins"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/penguins/""}",team_list_NHL_Penguins
San Jose Sharks,https://www.nhl.com/sharks/,None,Sharks,3,42133,NHL,"{""teamname"": ""San Jose Sharks"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/sharks/""}",team_list_NHL_Sharks
St. Louis Blues,https://www.nhl.com/blues/,None,Blues,3,42133,NHL,"{""teamname"": ""St. Louis Blues"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/blues/""}",team_list_NHL_Blues
Tampa Bay Lightning,https://www.nhl.com/lightning/,None,Lightning,3,42133,NHL,"{""teamname"": ""Tampa Bay Lightning"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/lightning/""}",team_list_NHL_Lightning
Toronto Maple Leafs,https://www.nhl.com/mapleleafs/,None,Maple Leafs,3,42133,NHL,"{""teamname"": ""Toronto Maple Leafs"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/mapleleafs/""}",team_list_NHL_Maple Leafs
Vancouver Canucks,https://www.nhl.com/canucks/,None,Canucks,3,42133,NHL,"{""teamname"": ""Vancouver Canucks"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/canucks/""}",team_list_NHL_Canucks
